#Regex
#(?P<name>^[A-Z]{1}\w+,\s[A-Z]{1}\w+)\s(?P<kids>\d+)\s(?P<transportation>[A-Z]{1}[a-z]+)\s(?P<pet>[a-z]+)\s(?P<place>[A-Z][a-z]+)

Brady, Tom 7 Toyota dog Florida
Watson, Emma 3 Altima cat Hollywood
Smith, Will 6 Honda giraffe Boston
Winfrey, Oprah 7 Lambo dragon Montana 
Burrow, Joe 4 Nisan penguin Ohio
Swift, Taylor 21 Cheverolet panda Wisconsin
Johnson, Dwayne 1 Audi tiger Maryland
Johansson, Scarlette 13 Wagon lizard California
Lopez, Jennifer 8 Jeep koala Canada
Cena, John 10 Skateboard ant Tennessee
Young, Bryce 11 Heelies caterpillar Idaho
Fox, Megan 31 Metro worm Maine
Lipa, Dua 0 Scooter goldfish Spain
James, Lebron 33 Bus rock Texas
Curry, Ayesha 22 Walking toad Brazil 
